alpha_pt,omega,alpha,mse_best,source
0.01,0.0,0.4335593220338983,0.047472072283901386,imperfect_pt
0.01,0.0,0.441864406779661,0.041654625542546765,imperfect_pt
0.01,0.0,0.4501694915254237,0.03647475392520182,imperfect_pt
0.01,0.0,0.45847457627118643,0.03187760151903826,imperfect_pt
0.01,0.0,0.4667796610169491,0.027812329155430967,imperfect_pt
0.01,0.0,0.4750847457627118,0.02423142010008936,imperfect_pt
0.01,0.0,0.48338983050847456,0.02108930948293155,imperfect_pt
0.01,0.0,0.49169491525423725,0.018341866806277207,imperfect_pt
0.01,0.0,0.5,0.01594649830639158,imperfect_pt
0.5,0.0,0.01,1.097964937893582,imperfect_pt
0.5,0.0,0.01830508474576271,1.1676053178759782,imperfect_pt
0.5,0.0,0.02661016949152542,1.2271484451548762,imperfect_pt
0.5,0.0,0.03491525423728813,1.2714594605694105,imperfect_pt
0.5,0.0,0.043220338983050846,1.3001013850554866,imperfect_pt
0.5,0.0,0.05152542372881356,1.315237592122571,imperfect_pt
0.5,0.0,0.059830508474576265,1.319678281021588,imperfect_pt
0.5,0.0,0.06813559322033898,1.3159511765246177,imperfect_pt
0.5,0.0,0.07644067796610168,1.3060274009467165,imperfect_pt
0.5,0.0,0.08474576271186439,1.2913395616143395,imperfect_pt
0.5,0.0,0.09305084745762711,1.2729106944192925,imperfect_pt
0.5,0.0,0.10135593220338981,1.2514914724300614,imperfect_pt
0.5,0.0,0.10966101694915252,1.2276547479209468,imperfect_pt
0.5,0.0,0.11796610169491524,1.201846861786167,imperfect_pt
0.5,0.0,0.12627118644067795,1.1744171137197141,imperfect_pt
0.5,0.0,0.13457627118644067,1.145640371532571,imperfect_pt
0.5,0.0,0.14288135593220339,1.11573813331025,imperfect_pt
0.5,0.0,0.1511864406779661,1.0848970782457872,imperfect_pt
0.5,0.0,0.1594915254237288,1.0532819629046855,imperfect_pt
0.5,0.0,0.16779661016949152,1.0210423771492947,imperfect_pt
0.5,0.0,0.17610169491525424,0.988315984535939,imperfect_pt
0.5,0.0,0.18440677966101693,0.9552300837907606,imperfect_pt
0.5,0.0,0.19271186440677965,0.9219020766577835,imperfect_pt
0.5,0.0,0.20101694915254237,0.8884393445079957,imperfect_pt
0.5,0.0,0.20932203389830506,0.854939242472804,imperfect_pt
0.5,0.0,0.21762711864406778,0.821489598758956,imperfect_pt
0.5,0.0,0.2259322033898305,0.7881700946734973,imperfect_pt
0.5,0.0,0.23423728813559322,0.755053471964302,imperfect_pt
