label,solver,omega,alpha_pt,sigma0_pt,alpha,mse_best,mse_fwd,mse_bwd,diff_db,fp_residual,reliability_db,s2_pt,gp_pt
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.4226315789473684,3.3369891676904066e-11,1.5551391466052307e-05,3.3369891676904066e-11,56.68414456868638,2.4475952214656878e-05,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.44842105263157894,5.431281571829418e-12,1.1830852616425824e-05,5.431281571829418e-12,63.38113725806136,9.978635051814495e-06,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.47421052631578947,7.735221842597089e-13,9.272536584561245e-06,7.735221842597089e-13,70.78725781922486,4.32156754427739e-06,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.0,imperfect,1.0,1.0,0.0,0.5,7.025481565899623e-14,7.314100519087271e-06,7.025481565899623e-14,80.17484826059078,1.999552760286758e-06,79.70546873852247,0.0,0.0
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.01,7.022338818676539e-14,7.022338818676539e-14,1.02327173066451,131.63509196514252,9.999227728561455e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.035789473684210524,0.7888836897672254,0.7888836897672254,0.788883822276182,7.294852784056616e-07,9.864112615431964e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.06157894736842105,0.5394214745858075,0.5394312445685746,0.5394214745858075,7.865855141941935e-05,9.039100300256564e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.08736842105263157,0.3348635908807331,0.3348876537350548,0.3348635908807331,0.0003120670529321856,9.75834355720906e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.1131578947368421,0.190845330449319,0.19089256316952527,0.190845330449319,0.0010747117432376996,9.979666686366073e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.13894736842105262,0.09897275530356614,0.09905420692451117,0.09897275530356614,0.0035726439587175918,9.825508393346283e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.16473684210526315,0.04675755298511237,0.04688002830499898,0.04675755298511237,0.011360905567144641,9.565417665363674e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.19052631578947368,0.021008971337238627,0.02113705311373565,0.021008971337238627,0.026396501560089547,9.952721766531836e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.2,0.015694393263321397,0.015811269409758535,0.015694393263321397,0.032222079462695064,9.914185001969056e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.2163157894736842,0.009660277299818833,0.009754322564652034,0.009660277299818833,0.04207520043282997,9.729819374409976e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.24210526315789474,0.00478157829546368,0.004848717190439687,0.00478157829546368,0.06055582419423189,9.981675526116174e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.26789473684210524,0.00258406570361186,0.0026309364831012955,0.00258406570361186,0.07806811308419981,9.626474684215625e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.29368421052631577,0.0015114852908047667,0.0015458681663935623,0.0015114852908047667,0.09768528827818201,9.740648040446054e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.3,0.0013392277552225246,0.0013720500637677496,0.0013392277552225246,0.10515516917948275,9.942906978956112e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.3194736842105263,0.0009439303553623791,0.0009706792823572215,0.0009439303553623791,0.12135807818023991,9.974733135356684e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.3452631578947368,0.0006220152901892819,0.0006426549855339458,0.0006220152901892819,0.14176820507179144,9.436013045802105e-05,91.2401463541674,0.0001,1e-06
w1.0_apt1.0_s00.01,imperfect,1.0,1.0,0.01,0.37105263157894736,0.0004268888755227528,0.000444361741842539,0.0004268888755227528,0.17421822992200475,9.532444427681058e-05,91.2401463541674,0.0001,1e-06
