rho_pt,rho_ft,omega,c_pt,lambda_pt,gamma_reinit,seed,ft_teacher_norm,alpha,mse_best,active_best,mse_fwd,mse_bwd,diff_db,fp_residual,mse_se,mse_rel_se,mse_se_db,reliability_score_db,rho_pt_emp,rho_ft_emp,experiment
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4441772151898734,0.0042942982719331,0.9999,0.0042978155540367,0.0042942982719331,0.003555670525678,9.79830981309715e-07,4.651715407744609e-05,0.0108323062656069,0.047044108374391,0.2999086566197866,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.450379746835443,0.003728274624968,0.9999,0.0037315692996489,0.003728274624968,0.0038361637081898,9.764038794921048e-07,4.012973927422624e-05,0.0107636221338095,0.0467458169800519,0.2999086566197866,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4565822784810127,0.003241920872956,0.9999,0.0032450311220983,0.003241920872956,0.004164557235363,9.939605043682298e-07,3.467184777970326e-05,0.0106948470176844,0.0464471304457979,0.2999086566197866,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4627848101265823,0.0028238249026583,0.9999,0.0028267461734011,0.0028238249026583,0.004490490818398,9.811467229017825e-07,3.000502045513317e-05,0.0106256660697646,0.046146681406454,0.2999086566197866,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4689873417721519,0.0024640610268049,0.9998875,0.0024667937098558,0.0024640610268049,0.0048137264416929,9.90574202039407e-07,2.60097889728512e-05,0.0105556594134263,0.0458426463610119,0.2999086566197866,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4751898734177215,0.0021542066898442,0.9998875,0.0021567895848496,0.0021542066898442,0.0052040740047125,9.974916444638326e-07,2.258613626622321e-05,0.0104846653632181,0.0455343231184778,0.2999086566197866,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4813924050632911,0.0018870295567402,0.9998875,0.0018894356237243,0.0018870295567402,0.005533967378227,9.768377185262469e-07,1.9648950910412575e-05,0.0104126354779283,0.0452215013013429,0.2999086566197866,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4875949367088608,0.0016562594995436,0.9998875,0.0016585294178605,0.0016562594995436,0.0059479694066517,9.813751662424153e-07,1.7124893377313005e-05,0.0103394989625912,0.0449038734509778,0.2999086566197866,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.4937974683544304,0.0014566455195047,0.9998875,0.0014587875078867,0.0014566455195047,0.0063815830668758,9.85748930957403e-07,1.4952744757063847e-05,0.0102651911922592,0.0445811589048005,0.2999086566197866,0.0989125,0.101325,exp1
0.1,0.1,0.5,0.001,0.0,0.0,0,unit_total_var,0.5,0.0012836844995209,0.9998875,0.0012856807157249,0.0012836844995209,0.0067483271851855,9.902782764845128e-07,1.3080359474472684e-05,0.0101896996336362,0.0442533032313982,0.2999086566197866,0.0989125,0.101325,exp1
